writer,location,date,time,news,title,class
طلال القطيني,حفر الباطن,2021-01-21,01:10,عوض البرتغالي خوسيه جاريدو مدرب فريق الباطن الأول لكرة القدم غياب الهولندي محمد رايحي وضيف الله القرني لاعبي الوسط المصابين بإقحام راكان الشملان والترينيدادي خاليم هايلاند مواجهة ضمك أمس ضمن الجولة 14 دوري كأس محمد بن سلمان للمحترفين واشتكى رايحي إصابة العضلة الخلفية خلال التدريب الأخير قبل المباراة وعاد هايلاند والشملان لتشكيل الباطن الأساسي للمرة الأولى الجولتين السادسة والتاسعة الترتيب,عودة الشملان وهايلاند,0
الرياضية,الرياض,2021-01-21,01:09,سجل الأرجنتيني إيميليو زيلايا مهاجم فريق ضمك الأول لكرة القدم أمس الثنائية الرابعة خلال منافسات دوري كأس محمد بن سلمان الموسم الجاري أمام الباطن ضمن مباريات الجولة 14 واستطاع صاحب 33 عاما يسجل ركلتي جزاء الدقيقتين 45 و68 زمن المباراة ليرفع رصيده الأهداف الدوري 8 أهداف 6 طريق ركلات الجزاء,زيلايا الثنائية الرابعة,1
بندر العتيبي,الرياض,2021-01-21,01:09,حقق فريق النصر الأول لكرة القدم فوزه الرابع التوالي دوري كأس محمد بن سلمان للمحترفين عندما تجاوز ضيفه الوحدة 3ـ1 اللقاء جمعهما أمس ملعب مرسول بارك الرياض ضمن الجولة 14 أطول سلسلة للفريق الأصفر دوريا الموسم وحافظ النصر أيضا سجله خاليا الخسائر للمباراة السادسة التوالي كانت آخر خسارة تعرض أمام الأهلي الجولة الثامنة ورفع الفريق العاصمي عدد انتصاراته الفرسان 12 فوزا تغيير مسمى الدوري موسم 2008ـ2009 دوري المحترفين مقابل 3 للوحدة بينما تعادلا مرتين ونجح النصر رفع عدد انتصاراته ملعبه مرتين آخر 5 مباريات لعبها أرضه وتعادل 2 وخسر واحدة ويعد الهدف ولج مرماه أمس الأول 190 دقيقة استقبل آخر هدف الدقيقة 85 لقاء الفيصلي انتهى نصراويا 3ـ2 وحافظ شباكه مباراتي العين والرائد استقبل هدف جوستافو الدقيقة الخامسة فوز النصر رفع رصيده 20 نقطة وقفز المركز السابع بينما تجمد رصيد الوحدة 20 نقطة أيضا المركز الثامن بفارق الأهداف النصر,النصر أطول سلسلة انتصارات,1
بندر العتيبي,الرياض,2021-01-21,01:08,يخضع الأرجنتيني جونزالو مارتينيز لاعب فريق النصر الأول لكرة القدم خلال الساعات القليلة المقبلة للكشف الطبي عبر الأشعة موضع إصابته تعرض العضلة أسفل الجانب الأيسر الدقيقة 22 الشوط الأول وخرج أرض ملعب مرسول بارك بالدموع واضطر ألين هورفات المدرب الكرواتي الزج باللاعب خالد الغنام بدلا وأكد البرتغالي بازيل روبيرو طبيب النادي إصابة مارتينيز يتم تشخيصها بشكل دقيق عبر الأشعة,مارتينيز ينتظر الأشعة,0
خالد الرشيد,الرياض,2021-01-21,01:08,لفت الكرواتي ألين هورفات مدرب فريق النصر الأول لكرة القدم أنهم لعبوا ضد فريق جيد ونجحوا امتصاص حماس لاعبيه طريق الضغط وقال المؤتمر الصحافي توقعت يكمل الثنائي الغامدي والصليهم المباراة بسبب انقطاعهما ولذلك استبدلتهما والبدلاء كانوا جاهزين وأضاف حاليا مستمتع المجموعة اللاعبين أهتم بعملي نسير الطريق الصحيح ومستوانا يتطور مباراة لأخرى,هورفات مستمتع المجموعة,0
خالد الرشيد,الرياض,2021-01-21,01:07,استبعد الكرواتي هورفات مدرب فريق النصر الأول لكرة القدم علي لاجامي مدافع الفريق قائمة 20 واجهت الوحدة أمس ضمن الجولة 14 لدوري كأس محمد بن سلمان للمحترفين ووفقا لمصادر الرياضية جاء قرار الاستبعاد لأسباب فنية بحتة فضل الكرواتي وضع مادو قائمة الفريق الاحتياطية وتعد المواجهة الثالثة يتم استبعاد لاجامي المباراة بقرار فني يشارك لاجامي فريقه الموسم الجاري مباراة واحدة كانت أمام الشباب الجولة الثالثة للدوري جرت الاول نوفمبر الماضي 2على ملعب الأمير فيصل بن فهد وخسرها النصر بهدفين مقابل هدف,فني يبعد لاجامي,0
حواس العايد,الرياض,2021-01-21,01:05,أعاد الكرواتي ألين هورفات مدرب فريق النصر الأول لكرة القدم المكلف رائد الغامدي مهاجم الفريق قائمة النصر الأساسية للمرة الأولى انتقاله النصر قادما الرائد بنظام الإعارة وحضر الغامدي مباراة الفيصلي الجولة قبل الماضية حسمها النصر بثلاثة أهداف مقابل هدفين وسجل الهدف الثالث لفريقه عقب نزوله الدقيقة 71 كان أسيرا لدكة البدلاء البرتغالي روي فيتوريا المدرب المقال وغاب الغامدي مباراة الرائد نظير ظروف وفاة جده,الغامدي يدخل التشكيلة الأساسية,0
متعب العبد الهادي,الرياض,2021-01-21,01:04,رفع البرازيلي بيتروس لاعب فريق النصر الأول لكرة القدم أهدافه ملعب مرسول بارك أربعة أهداف الهدفين سجلهما أمس مرمى الوحدة خلال المباراة حسمها النصر بثلاثة أهداف مقابل هدف كأكثر لاعب النصر يسجل الملعب بدأ النصر اللعب رسميا مرسول بارك الجولة العاشرة أمام ضمك سجل 8 أهداف أهداف مباراة أمس أمام الوحدة كان نصيب بيتروس 4 وهدفان للأرجنتيني مارتينيز وهدف لكل خالد الغنام وسامي النجعي ولعب النصر مرسول بارك ثلاث مباريات الأولى كانت أمام ضمك وانتهت بالتعادل 2ـ2 وسجل بيتروس الهدفين والثانية أمام العين وحسمها النصر بثلاثية بيضاء سجل الأهداف خالد الغنام ومارتينيز وسامي النجعي والثالثة أمس أمام الوحدة ويلعب النصر الجولة المقبلة أمام الاتحاد جدة بينما سيعود ملعبه لمواجهة التعاون الجولة 17 الرابع فبراير المقبل الوسائل تجهز 20 غرفة فرغت شركة الوسائل بناء 20 غرفة لكبار الشخصيات ملعب مرسول بارك المسمى الجديد لملعب جامعة الملك سعود وبنيت 10 غرف يمين المنصة والأخرى يسارها لكنها زالت تحت التجهيز تعمل الشركة خلال الفترة المقبلة وتستهدف الشركة بناء 40 غرفة لكبار الشخصيات يتبين مكان 20 غرفة المتبقية يذكر الغرف سيتم تأجيرها مستقبلا,سجل الرابع بيتروس هداف مرسول بارك,0
خالد الرشيد,الرياض,2021-01-21,01:04,عاد عبد المجيد الصليهم لاعب فريق النصر الأول لكرة القدم المشاركة بصفة أساسية مواجهة الوحدة أمس غياب استمر شهرين وتغيب الصليهم النصر بسبب إصابة التمزق العضلة الخلفية أبعدته 5 مباريات قبل يعود للمشاركة أمام الرائد الجولة الماضية عندما دفع المدرب الدقيقة 61 بديلا لعلي الحسن وجاءت عودة الصليهم للقائمة الأساسية حساب سامي النجعي,الصليهم أساسيا,0
الرياضية,الرياض,2021-01-21,01:02,أوضح محمد كمال ريشة المحلل التحكيمي الحصري الرياضية ماجد الشمراني حكم مباراة النصر والوحدة أمس ظهر بلياقة بدنية عالية وتحرك بإيجابية أرجاء الملعب مشيرا قراراته كانت صحيحة وقال لجأ الشمراني تقنية لعبة لذلك جاءت قراراته صحيحة مبينا ركلة الجزاء احتسبها للنصر الدقيقة 85 صحيحة,المحلل التحكيمي سهل مهمة الشمراني,0
متعب العبد الهادي,الرياض,2021-01-21,01:00,أنهى فريق الهلال الأول لكرة القدم تعثرا دام 30 يوما وحقق انتصاره الأول دوري كأس محمد بن سلمان للمحترفين 4 تعادلات متتالية أمس حساب التعاون ضيفه بهدفين رد ضمن الجولة 14 البطولة ويعود آخر انتصار للهلال قبل مباراة أمس الجولة التاسعة عندما فاز القادسية بنتيجة 3ـ1 21 ديسمبر الماضي وللمرة الأولى ينتصر الفريق الأزرق العام الميلادي الجديد بدأه بتعادلين عقب تحقيق مثلهما نهاية 2020 ويدين الهلال بالفوز الفرنسي بافيتيمبي جوميز مهاجمه والأرجنتيني لوسيانو فييتو جناحه هزا شباك التعاون بمقصيتين الدقيقتين 2 و50 وابتعد الفريق العاصمي بصدارة جدول ترتيب الدوري بعدما رفع رصيده 29 نقطة متقدما بثلاث نقاط الشباب والأهلي ملاحقيه تجمد رصيد التعاون 21 نقطة محتلا المركز الخامس الهدف الأسرع أحرز الفرنسي بافيتمبي جوميز مهاجم فريق الهلال الأول لكرة القدم أسرع أهداف الأزرق الموسم الجاري دوري كأس محمد بن سلمان للمحترفين انطلاقة مواجهة التعاون أمس ضمن الجولة 14 بدقيقتين فقط وكان الهدف الهلالي الأسرع قبل المباراة مسجلا باسم جوميز أيضا وتلقته شباك القادسية الدقيقة 14 لقاء الفريقين ضمن الجولة التاسعة وبلغ رصيد الفرنسي 7 أهداف الدوري متأخرا بثلاثة السويدي كارلوس ستراندبيرج مهاجم أبها متصدر لائحة هدافي البطولة الآن تغيير الخطة حول الفرنسي باتريس كارتيرون مدرب فريق التعاون الأول لكرة القدم طريقة اللعب 4ـ4ـ2 مواجهة الهلال أمس ضمن الجولة 14 دوري كأس محمد بن سلمان للمحترفين مطيحا بأربعة لاعبين تشكيله الأساسي واعتمد كارتيرون خطة 3ـ5ـ2 أمام الفتح الجولة السابقة بوجود الرباعي أحمد عسيري المدافع وإبراهيم الزبيدي الجناح الأيسر والبرازيلي ساندرو مانويل وريان الموسى لاعبي الوسط بدأوا مباراة أمس مقاعد البدلاء وبدلا منهم ضم تشكيل أمس نواف الصبحي وسميحان النابت ومحمد أبو سبعان وعبد الله الجوعي جانب 7 أسماء أخرى احتفظت بأماكنها الثنائية الأولى سجل الفرنسي بافيتيمبي جوميز مهاجم فريق الهلال الأول لكرة القدم وزميله الأرجنتيني لوسيانو فييتو الجناح أمس أول ثنائية تهز شباك التعاون خلال مباراة واحدة انطلاقة دوري كأس محمد بن سلمان للمحترفين واستقبل مرمى التعاون بمعدل هدف الأكثر خلال الجولات 13 الأولى قبل تعرضه لإصابتين أمس وإجمالا ولج مرمى الفريق القصيمي 9 أهداف الدوري باحتساب ثنائية الهلال تباعد المدربين التزم مساعدو الروماني رازفان لوشيسكو مدرب فريق الهلال الأول لكرة القدم وعدد أعضاء الجهاز الفني للتعاون مقاعد المركز الإعلامي ملعب الأمير فيصل بن فهد خلال مباراة أمس تطبيقا لقاعدة التباعد المكاني جانبهم توزع بدلاء الفريقين المقاعد المخصصة المدرجات عملا بتعليمات البروتوكول الوقائي تفرضه وزارة الرياضة احترازا عدوى فيروس كورونا وانتهت المباراة بفوز الهلال بهدفين رد,30 يوما الهلال يحتفل 2021,1
الرياضية,الرياض,2021-01-21,01:00,وضع سالم الدوسري جناح أيمن فريق الهلال الأول لكرة القدم اسمه ضمن لائحة صناع الأهداف للمرة الأولى انطلاقة الموسم عندما أرسل عرضية أحرز زميله الفرنسي بافيتيمبي جوميز المهاجم هدفا الدقيقة الثانية مواجهة التعاون أمس ضمن الجولة 14 دوري كأس محمد بن سلمان للمحترفين وغابت تمريرات الدوسري الحاسمة خلال 10 مشاركات 9 أساسيا قبل لقاء التعاون وتعود الصناعة السابقة مواجهة الوحدة الجولة 29 دوري الموسم الماضي,الدوسري يعاود الصناعة,0
متعب العبد الهادي,الرياض,2021-01-21,12:59,أعاد الروماني رازفان لوشيسكو مدرب فريق الهلال الأول لكرة القدم الثلاثي سالم الدوسري الجناح ومتعب المفرج المدافع ومحمد كنو لاعب الوسط التشكيل الأساسي مواجهة التعاون أمس ضمن الجولة 14 دوري كأس محمد بن سلمان للمحترفين حساب البيروفي أندريه كاريلو ومحمد جحفلي وعبد الله عطيف المقابل احتفظت 8 أسماء شاركت أمام الأهلي الجولة السابقة بمقاعدها تشكيل الهلال وجلس المفرج احتياطيا مواجهة الأهلي غاب عنها الدوسري للإصابة دخلها كنو بديلا,إبعاد كاريلو وجحفلي,0
أحمد الخلف,الرياض,2021-01-21,12:58,مكن الانتصار التعاون أمس الروماني رازفان لوشيسكو مدرب فريق الهلال الأول لكرة القدم إتمام تحقيق 100 نقطة الدوري السعودي للمحترفين كأسرع يصل الرقم بالتساوي البلجيكي ميشيل برودوم مدرب الشباب السابق واحتاج لوشيسكو 44 مباراة يحصد مئويته معادلا إنجاز برودوم حققه أثناء قيادته فريق الشباب عامي 2011 و2013 وبدأ الروماني سلسلة مبارياته بمواجهة أبها خلال الجولة الافتتاحية للموسم الماضي 23 أغسطس 2019 انتصر الهلال بنتيجة 4ـ2 قدومه قاد المدرب الهلال لجني 30 انتصارا 8 الموسم الجاري مقابل 11 تعادلا و3 هزائم ليجمع معه الفريق 101 نقطة 44 مباراة الدوري ويتفوق لوشيسكو وبرودوم السويسري كريستيان جروس والبرتغالي روي فيتوريا مدربي الأهلي والنصر السابقين احتاجا 47 مباراة لبلوغ 100 نقطة الدوري السعودي للمحترفين 3 إيقافات يغيب الأرجنتيني لوسيانو فييتو جناح فريق الهلال الأول لكرة القدم والبوروندي سيدريك أميسي لاعب وسط التعاون وزميله البرازيلي إياجو سانتوس المدافع منافسات الجولة 15 دوري كأس محمد بن سلمان للمحترفين بداعي تراكم البطاقات الصفراء وحصل اللاعبون الثلاثة إنذار رابع مواجهة الفريقين أمس ضمن الجولة 14 وسيفتقدهم الهلال والتعاون عندما يلاقيان الفيصلي وضمك الترتيب الإثنين المقبل,رازفان يعادل إنجاز برودوم,0
متعب العبد الهادي,الرياض,2021-01-21,12:57,حافظ عبد الله المعيوف حارس مرمى فريق الهلال الأول لكرة القدم نظافة شباكه لمرة خامسة الدوري خلال مواجهة التعاون أمس ضمن الجولة 14 البطولة وبات المعيوف مباراة واحدة معادلة البرازيلي كاسيو دوس أنجوس حارس مرمى التعاون الأكثر حفاظا نظافة شباكه الموسم الآن,المعيوف الخامسة نظيفة,0
الرياضية,الرياض,2021-01-21,12:57,استحق البرازيلي إياجو سانتوس مدافع فريق التعاون الأول لكرة القدم الطرد أمام الهلال أمس طبقا لرأي المصري محمد كمال ريشة المحلل التحكيمي الحصري الرياضية ونوه ريشة بدفع سانتوس نظيره الأرجنتيني لوسيانو فييتو جناح الهلال احتساب خطأ ضده لمصلحة الأخير الدقيقة 75 يستوجب حصوله بطاقة صفراء ثانية طرده وباستثناء أيد ريشة فيصل البلوي حكم المباراة بقية قراراته,ريشة سانتوس استحق الطرد,0
متعب العبد الهادي,الرياض,2021-01-21,12:45,أنهى الأرجنتيني لوسيانو فييتو جناح فريق الهلال الأول لكرة القدم صيامه التهديفي قدومه للأزرق بزيارة شباك التعاون أمس 13 مباراة ضل طريق المرمى وقبل مباراة أمس عجز فييتو التسجيل الهلال 11 لقاء ضمن بطولة الدوري فضلا اثنين كأس الملك وانضم الأرجنتيني الفريق العاصمي فترة الانتقالات الصيفية الماضية قادما سبورتنج لشبونة البرتغالي,تسجيل 14 مشاركة,0
الرياضية,المجمعة,2021-01-21,12:45,حول فريق النهضة الأول لكرة القدم تأخره أمام الفيحاء مضيفه بهدف انتصار بهدفين مقابل هدف اختتام مواجهات الجولة السادسة عشرة دوري الأمير محمد بن سلمان لأندية الدرجة الأولى ملعب مدينة المجمعة الرياضية المجمعة وعزز النهضة تفوقه التاريخي المواجهات المباشرة الفريقين دوري الأولى بالفوز الرابع مقابل فوزين للفيحاء و3 تعادلات وتقدم الفيحاء مبكرا مرور دقيقة واحدة صافرة البداية طريق سواليو كواتارا ولكنه فشل الحفاظ تقدمه فسجل هاشم عباس هدف التعادل نقطة الجزاء قبل خمس دقائق نهاية الشوط الأول وسجل هدف الفوز لسعد الجزيري الدقيقة 72 وتمسك الفيحاء بالمركز الثاني سلم الترتيب رغم الخسارة وتوقف رصيده 34 نقطة جناها 10 انتصارات وأربعة تعادلات وخسارتين قفز النهضة المركز الرابع عشر رفع رصيده 16 نقطة 3 انتصارات وسبعة تعادلات و6 خسائر,النهضة ينتزع الفوز الرابع,1
أنور قمقوم,عرعر,2021-01-21,12:44,عاد فريق الجبلين الأول لكرة القدم الانتصارات دوري الأمير محمد بن سلمان لأندية الدرجة الأولى غيابه أربع جولات ماضية عقب فوزه أمس ضيفه أحد بهدفين مقابل هدف ضمن مواجهات الجولة السادسة عشرة دوري الأمير محمد بن سلمان لأندية الدرجة الأولى ملعب مدينة الأمير عبد العزيز بن مساعد الرياضية حائل وسجل هدفي الجبلين كارلوس ديمورا وعبد العزيز السعود سجل هدف أحد محمد فؤاد ورفع الجبلين رصيده النقطي 31 نقطة المركز الثالث بقي أحد رصيده السابق 20 نقطة المركز الحادي عشر,الجبلين يعود الانتصارات,1
عادل الدحيلان,الأحساء,2021-01-21,12:44,فرض التونسي محمد المكشر مدرب فريق العدالة الأول لكرة القدم تدريبا مسائيا ملعب النادي الأحساء الفوز فريق عرعر مواجهات الجولة السادسة عشرة دوري الأمير محمد بن سلمان لأندية الدرجة الأولى 3ـ1 أمس الأول وعقد المكشر لاعبيه اجتماعا قبل بداية التدريبات الجماعية ناقش خلالها الأخطاء الفنية مطالبا بأهمية مواصلة بذل المزيد الجهد ومواصلة الانتصارات والبحث النقاط الثلاث,العدالة اجتماع فني ولياقة,0
أحمد الداود,الدمام,2021-01-21,12:43,تعادل فريقا الخليج والجيل لكرة القدم بهدفين لمثلهما مباراتهما ختام الجولة السادسة عشرة دوري الأمير محمد بن سلمان لأندية الدرجة الأولى ملعب نادي الخليج سيهات وسجل هدفي الخليج روجيريو وهشام الدبيس سجل هدفي الجيل عبد المجيد السعيد ورفع الخليج رصيده النقطي النقطة 25 المركز الثامن وصل الجيل النقطة 15 المركز السادس عشر,التعادل يجمع الخليج والجيل,1
الرياضية,الدمام,2021-01-21,12:43,يعتمد التونسي محمد دحماني مدرب فريق الحزم الأول لكرة القدم السنغالي إبراهيما تانديا الهداف الثاني للفريق بسبعة أهداف أهداف الفريق 39 دوري الأمير محمد بن سلمان لأندية الدرجة الأولى خلف يودا هداف الفريق بهدفين فقط بدأ تانديا مشواره الدوري الفرنسي فريق سوسو عام 2011 انتقل كان ديبورتيفو ألافيس الإسباني قبل يعود الدوري الفرنسي عبر بوابة تور ستة أشهر صيف 2014,تانديا الهداف الثاني,0
عادل الدحيلان,الأحساء,2021-01-21,12:42,تغلب فريق الثقبة الأول لكرة القدم أمس مضيفه النجوم اختتام الجولة السادسة عشرة دوري الأمير محمد بن سلمان لأندية الدرجة الأولى بثلاثة أهداف مقابل هدف ملعب مدينة الأمير عبد الله بن جلوي الرياضية الأحساء وسجل أهداف الثقبة الثلاثة متعب الحماد هدفين وعبد العزيز المطير سجل هدف النجوم الوحيد جورج أكبابيو وقفز الثقبة المركز التاسع سلم الترتيب العام بعدما رفع رصيده النقطي 22 نقطة بقي النجوم رصيده السابق بتسع نقاط المركز الأخير,الثقبة يتجاوز النجوم بثلاثية,1
حسن ذيبان,أبها,2021-01-21,12:41,رفض البرتغالي باولو جوميز مدرب فريق نجران الأول لكرة القدم منح لاعبيه راحة أمس خسارة الفريق أمس الأول أمام هجر 3ـ4 ضمن الجولة السادسة عشرة دوري الأمير محمد بن سلمان لأندية الدرجة الأولى وعقد البرتغالي جوميز اجتماعا فنيا لاعبيه قبل بداية التدريبات الجماعية شرح خلاله الأخطاء الفنية ارتكبوها مواجهة هجر مطالبا بأهمية التصحيح ومعالجتها خلال التدريبات اليومية,جوميز يرفض إجازة اللاعبين,0
حواس العايد,الرياض,2021-01-20,11:43,أثبتت الفحوص المبدئية خضع الأرجنتيني بيتي مارتنيز لاعب وسط النصر إصابته بكدمة الجنب المقرر يجري كشفا آخر الخميس للتثبت مدى إمكانية مشاركته مباراة فريقه المقبله أمام الاتحاد الإثنين وكان مارتينيز تعرض لإصابته إثر احتكاك مباراة الوحدة الأربعاء شهدت إحرازه هدف التعادل لفريقه بدت الآلام جعل الكرواتي ألين هورفات مدرب الفريق المكلف يضطر استبداله الدقيقه 27 وفقا لتعليمات الجهاز الطبي ولحقت إصابة أخرى مطلع الموسم باللاعب ذاته وغيبته المشاركة 3 مباريات متتالية جاء الفحص حينها إصابته الصدر بينما غاب فترة أخرى أيضا بسبب ثبوت إصابته بفيروس كورونا وكان النصر تعاقد مارتنيز سبتمبر الماضي قادما فريق أتالانتا الأمريكي وشارك 10 مباريات الدوري سجل خلالها 3 أهداف كان آخرها أول أهدافه أمام الوحدة كرة ثابته,تشخيص إصابة بيتي كدمة الجنب,0
وليد الصيعري,الدمام,2021-01-20,11:57,أكد جمعان الجمعان مدافع فريق الاتفاق الأول لكرة القدم الأسبق دوري كأس محمد بن سلمان للمحترفين مشابه للدوري الإنجليزي صراع فرقه الصدارة والتقارب النقطي وأوضح الرياضية الجمعان قائلا فارق النقاط الأول والسادس يعطي انطباعا قوة المنافسة الموسم الجاري دليلا ضعف مستويات الفرق وأضاف يدل دورينا الأقوى عربيا بلا منافس الندية والإثارة والنجوم الموجودين فرقه وشدد الجمعان تنافس خمسة فرق الصدارة يشير صراع مرتقب الدور الثاني والحال ذاته بالنسبة آخر الترتيب,الجمعان مثل الإنجليز,0
الرياضية,أبها,2021-01-20,10:55,احتاج فريق ضمك الأول لكرة القدم 14 جولة دوري كأس محمد بن سلمان للمحترفين يغادر المركز الأخير عقب انتصاره الباطن 2 0 الأربعاء تنتظر إدارة الفريق الجنوبي تكرار سيناريو الموسم الماضي نجا فريقها شبح الهبوط الجولة الأخيرة الدوري أول موسم للفريق الكبار وسارعت محاولة إيجاد الحلول خلال إقالة الجزائري نور الدين زكري مدرب الفريق والاستعانة بالكرواتي كرشمير ريزتش قاد الفريق آخر 3 مباريات خسر الأولى وتعادل الثانية وانتصر الثالثة وخلال مشواره الدوري الموسم خاض ضمك 14 مباراة خسر 8 مباريات وتعادل 3 وانتصر مثلها ويبتعد بفارق نقطة الباطن صاحب المركز 13 ونقطتين الفيصلي صاحب المركز 12 المراكز حال استطاع الصعود إليها الجولات المقبلة سيكون وضع آمن حافظ عليها نهاية الدوري,ضمك يتنفس مغادرة الأخير,1
الرياضية,الرياض,2021-01-20,10:21,أشاد البرازيلي بيتروس ماثيوس لاعب وسط فريق النصر الأول لكرة القدم الدور يقدمه الكرواتي ألين هورفات مدير الجهاز الفني الحالي مبينا أنه أعطاهم جرعة حيوية أسهمت عودة الأصفر أجواء الانتصارات الفوز الوحدة 3 1 الأربعاء ضمن الجولة 14 دوري كأس محمد بن سلمان للمحترفين وأضاف بيتروس صاحب الهدفين لفريقه عبر تصريحات للناقل الرسمي تجاوزنا مرحلة الصعاب مررنا الفترة الماضية النتائج الجيدة مستمرة أمر جيد اختلفت العديد الأمور الأيام الماضية أعاد الروح اللاعبين وزاد تولي الكرواتي هورفات دفة التدريب يمنحنا مزيدا الطاقة والقوة والسعادة دائما يقول غرف الملابس أنه علينا نلعب ونقاتل كالأسود الكلمات وغيرها هورفات غيرت فينا الكثير وأعطتنا الدافع اللازم لتجاوز الأيام العاثرة وتابع النصر الكبير سيعود بالتأكيد وضعه الطبيعي نقدم مباريات متميزة وعلينا نكون مرة وسنصل الهدف المنشود بتكاتف الجميع,بيتروس هورفات منحنا الطاقة والسعادة,0
الرياضية,الرياض,2021-01-20,10:07,بات البرازيلي بيتروس ماثيوس محترف فريق النصر الأول لكرة القدم هداف فريقه دوري كأس محمد بن سلمان للمحترفين برصيد 4 أهداف إضافة هدافه مرسول بارك الملعب الجديد بذات الرصيد وعوض لاعب الوسط البرازيلي غياب المغربي عبدالرزاق حمدالله الهداف واحتل صدارة هدافي فريقه الدوري قبل جولة واحدة نهاية الدور الأول وحصد البرازيلي نجومية أولى مواجهات فريقه الملعب الجديد الجولة الثامنة دوري كأس محمد بن سلمان للمحترفين أمام ضمك أحرز هدفي النصر المواجهة انتهت بالتعادل 2 2 وخلال المباراة الثانية الملعب أمام العين غاب بيتروس التسجيل المواجهة حسهما الفريق بثلاثية نظيفة تناوب تسجيلها خالد الغنام والمغربي نورالدين أمرابط وسامي النجعي وعاد بيتروس المواجهة الثالثة وأكد تخصصه مرسول بارك أحرز ثنائية مباراة الوحدة انتهت بفوز أصحاب الأرض 3 1 كان نصيب البرازيلي هدفين يذكر الإدارة النصراوية كانت قررت الاستغناء خدمات المحترف البرازيلي خلال فترة الانتقالات الصيفية الماضية قبل تعدل قرارها الساعة الأخيرة إغلاق الميركاتو الصيفي وتبعد النيجيري أحمد موسى وحضر بيتروس صاحب 31 عاما النصر الموسم قبل الماضي قادما ساوباولو البرازيلي لمدة موسمين وتوج معه الموسم الأول بلقب دوري كأس محمد بن سلمان للمحترفين وكأس السوبر,بيتروس الإبعاد هداف النصر,0
الرياضية,الرياض,2021-01-20,09:55,سجل فريق النصر الأول لكرة القدم انتصاره الرابع تواليا مواصلا صحوته حساب الوحدة بالانتصار 3 1 الأربعاء لقاء جمعهما ملعب مرسول بارك ختام مباريات الجولة 14 دوري كأس محمد بن سلمان للمحترفين وقفز النصر بالانتصار المركز السابع 20 نقطة تجمد رصيد الوحدة بذات نقاط خصمه المركز الثامن وباغت الوحدة الفريق الأصفر بهدف مبكر الدقيقة 5 طريق البرازيلي جوستافو قبل يفسد الأرجنتيني بيتي فرحته بتعديل النتيجة لصالح صاحب الأرض 3 دقائق فقط قبل يخرج الدقيقة 26 للإصابة لينتهي الشوط الأول بتعادل الفريقين 1 1 الشوط الثاني سيطر الأصفر مجريات المباراة استطاع البرازيلي بيتروس وضع فريقه المقدمة بتسجيله الهدف الثاني الدقيقة 67 كان الوحدة يحاول تعديل النتيجة للخروج المباراة بنقطة الأقل عاد البرازيلي مرة أخرى وسجل الهدف الشخصي الثاني والثالث لفريقه طريق ركلة جزاء الدقيقة 87 أعلن بعده حكم المباراة نهاية اللقاء بفوز النصر 3 1 ويحل النصر ضيفا الاتحاد الإثنين ضمن مباريات الجولة 15 ختام الدور الأول المسابقة يستضيف الوحدة نظيره الشباب اليوم والجولة,الوحدة رابع ضحايا صحوة النصر,1
سلطان العتيبي,الرياض,2021-01-20,09:33,وقعت إدارة نادي الشباب الأربعاء عقد انتقال عبدالله الجوعي صفوفها صفقة انتقال حر تبدأ صيف الموسم المقبل وفقا لمصادر خاصة الرياضية وأشارت المصادر ذاتها الصفقة قادها خالد البلطان رئيس النادي العاصمي كلفت خزائنه 7 ملايين و200 ألف ريال لمدة 3 مواسم مقبلة سيدافع اللاعب القادم صفوف فريق التعاون قميص الشباب ودخل الجوعي الفترة الحرة الأول يناير الجاري تتيح التوقيع لأي نادي الرجوع لإدارة علي الشايعي قدم أداء لافتا الموسم الحالي بدايته مكنه حجز مقعد أساسي القائمة التعاونية,7 ملايين تنقل الجوعي الشباب,0
الرياضية,الرياض,2021-01-20,08:21,استغرق الأرجنتيني لويس فييتو لاعب فريق الهلال الأول لكرة القدم 642 دقيقة لتسجيل هدفه الأول بالقميص الأزرق بتسجيله هدف فريقه الثاني شباك التعاون الأربعاء ضمن مباريات الجولة 14 دوري كأس محمد بن سلمان للمحترفين وخلال المباريات 12 ظهر الأرجنتيني شارك 642 خلال مشاركته 7 مباريات بشكل أساسي و5 مباريات بديلا ساهم خلالها بصناعة هدف واحد قبل يضع بصمته شباك التعاون بهدف هوائي جميل ورغم عدم تسجيله هدف واحد وصناعة مثله توج فييتو الأزرق أول بطولة تاريخه بكأس خادم الحرمين الشريفين كسبه الهلال 2 1 أمام النصر وأوقف الهلال بانتصاره التعاون سلسلة التعادلات مر الجولات الأربع الماضية ورفع رصيده 29 نقطة صدارة سلم الترتيب,642 دقيقة فييتو يسجل أول أهدافه,0
